preset,family,pattern_kind,side,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,entry_time,exit_time,base_price,tip_price,entry_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,target_price,target_hit,flag_width,pole_width,hold_bars,holding_bars,flag_height_log,flag_height_ratio,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,flag_quality_score,gross_log_return,gross_return_pct,gross_r,structure_r,net_pnl,net_return_pct,fees,exit_reason
baseline,bull_flag,flag,long,114796,114822,114832,114831,114842,114827,114822,114827,2023-02-03T14:20:00,2023-02-03T16:30:00,2023-02-03T17:20:00,2023-02-03T18:10:00,1633.27,1670.4,1663.41,1656.0,1662.073453,1651.942033,1670.4,1660.774541,1657.0,1651.942033,1701.225189,false,10,26,10,10,0.008054,0.358307,0.022479,7.415821,-0.000611,7.420818,-0.000578,2.714541,-0.004465,-0.44547,-0.198615,-0.646148,-48.538136,-0.485381,3.991091,固定持有期
baseline,bull_flag,flag,long,114976,115005,115017,115016,115029,115014,115010,115016,2023-02-04T05:20:00,2023-02-04T07:45:00,2023-02-04T08:45:00,2023-02-04T09:45:00,1646.77,1658.58,1654.34,1656.49,1658.441491,1652.988414,1660.037937,1654.312658,1654.13,1652.988414,1666.204289,false,12,29,12,12,0.002687,0.375961,0.007146,7.413634,-0.000274,7.414596,-0.000288,2.562578,0.001299,0.129961,0.181747,1.590724,8.99352,0.089935,4.002599,固定持有期
baseline,bull_flag,flag,long,115049,115071,115081,115080,115091,115074,115071,115080,2023-02-04T11:25:00,2023-02-04T13:15:00,2023-02-04T14:05:00,2023-02-04T14:55:00,1659.61,1694.99,1682.46,1681.66,1691.341091,1679.168244,1694.99,1682.291887,1682.85,1679.168244,1718.327122,false,10,22,10,10,0.007188,0.34076,0.021094,7.433277,-0.000722,7.435432,-0.000752,2.640771,-0.000476,-0.047549,-0.022547,-0.243031,-8.753991,-0.08754,3.999049,固定持有期
baseline,bear_flag,flag,short,115071,115095,115105,115104,115115,115099,115096,115103,2023-02-04T13:15:00,2023-02-04T15:15:00,2023-02-04T16:05:00,2023-02-04T16:55:00,1694.99,1676.38,1678.77,1681.06,1674.944666,1679.010959,1680.425255,1680.472703,1680.48,1680.472703,1660.338086,false,10,24,10,10,0.002443,0.221262,0.01104,7.423535,0.000242,7.426802,3e-6,3.67172,-0.001363,-0.136409,-0.123474,-1.34492,-17.643668,-0.176437,4.002728,固定持有期
baseline,bear_pennant,pennant,short,115071,115108,115123,115122,115138,115114,115110,115110,2023-02-04T13:15:00,2023-02-04T16:20:00,2023-02-04T17:35:00,2023-02-04T18:50:00,1694.99,1676.39,1677.5,1679.3,1674.608145,1679.792589,1684.0367,1682.786849,1683.87,1682.786849,1659.091927,false,15,37,15,15,0.004452,0.403478,0.011034,7.423334,0.000206,7.428949,-0.000049,2.473737,-0.001072,-0.107303,-0.097194,-0.340467,-14.732399,-0.147324,4.002146,固定持有期
baseline,bear_flag,flag,short,115110,115135,115146,115145,115157,115135,115138,115141,2023-02-04T16:30:00,2023-02-04T18:35:00,2023-02-04T19:30:00,2023-02-04T20:25:00,1683.87,1674.83,1676.35,1679.71,1674.83,1676.512412,1679.016839,1680.055328,1679.6,1680.055328,1667.350372,false,11,25,11,11,0.002844,0.528326,0.005383,7.423467,0.000091,7.425964,0.000056,2.044754,-0.002002,-0.200435,-0.371973,-0.906802,-24.047556,-0.240476,4.004009,固定持有期
baseline,bear_pennant,pennant,short,115110,115152,115163,115162,115174,115152,115154,115154,2023-02-04T16:30:00,2023-02-04T20:00:00,2023-02-04T20:55:00,2023-02-04T21:50:00,1683.87,1673.79,1679.14,1679.81,1673.79,1678.69559,1681.174137,1680.051689,1680.97,1680.051689,1669.088315,false,11,42,11,11,0.00428,0.712916,0.006004,7.422846,0.000266,7.427248,-0.000061,2.368886,-0.000399,-0.039901,-0.066443,-0.7349,-7.990936,-0.079909,4.000798,固定持有期
baseline,bear_flag,flag,short,115183,115210,115220,115219,115230,115219,115212,115218,2023-02-04T22:35:00,2023-02-05T00:50:00,2023-02-05T01:40:00,2023-02-05T02:30:00,1686.0,1662.84,1664.16,1666.7,1662.856367,1666.705293,1665.061364,1668.407231,1667.42,1668.407231,1641.300009,false,10,27,10,10,0.002751,0.198855,0.013832,7.416292,0.000231,7.417617,0.000201,4.097274,-0.001525,-0.15263,-0.110262,-0.598037,-19.266008,-0.19266,4.003053,固定持有期
baseline,bear_flag,flag,short,115183,115221,115231,115230,115241,115230,115227,115227,2023-02-04T22:35:00,2023-02-05T01:45:00,2023-02-05T02:35:00,2023-02-05T03:25:00,1686.0,1663.78,1665.31,1658.81,1663.796248,1667.022952,1666.681461,1670.964558,1669.25,1670.964558,1643.362676,false,10,38,10,10,0.003282,0.247408,0.013267,7.416857,0.000194,7.41859,0.000257,3.94514,0.003911,0.390318,0.294783,1.149515,35.039578,0.350396,3.992194,固定持有期
baseline,bear_flag,flag,short,115331,115358,115369,115368,115380,115358,115363,115363,2023-02-05T10:55:00,2023-02-05T13:10:00,2023-02-05T14:05:00,2023-02-05T15:00:00,1669.12,1642.22,1649.22,1655.31,1642.22,1650.016592,1648.699336,1654.316006,1651.25,1654.316006,1622.640714,false,11,27,11,11,0.005484,0.337503,0.016248,7.403804,0.000431,7.407742,0.000309,2.759582,-0.003686,-0.369265,-0.226856,-1.195054,-40.933932,-0.409339,4.007385,固定持有期
