trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
3537,267375,267387,2024-07-17T09:15:00,2024-07-17T10:15:00,short,bear_pennant,0.092647,8.594918,3.997482,-37.16917899999999,-18866.03216600004,-0.8866032166000042,1.2098789715,-2.096482188100004,-1.7328032286574908
3538,267413,267423,2024-07-17T12:25:00,2024-07-17T13:15:00,short,bear_flag,0.043168,2.284846,3.998743,-37.12601099999999,-18863.747320000042,-0.8863747320000044,1.2098789715,-2.0962537035000044,-1.7326143795201951
3539,267436,267447,2024-07-17T14:20:00,2024-07-17T15:15:00,short,bear_flag,-0.266456,-43.556637,4.00791,-37.39246699999999,-18907.303957000044,-0.8907303957000046,1.2098789715,-2.1006093672000046,-1.7362144616793223
3540,267586,267596,2024-07-18T02:50:00,2024-07-18T03:40:00,long,bull_pennant,0.097832,10.551343,4.002911,-37.29463499999999,-18896.752614000045,-0.8896752614000045,1.2098789715,-2.0995542329000045,-1.7353423626306943
3541,267754,267764,2024-07-18T16:50:00,2024-07-18T17:40:00,short,bear_flag,0.019317,2.390792,3.998722,-37.27531799999999,-18894.361822000046,-0.8894361822000048,1.2098789715,-2.0993151537000045,-1.7351447567497496
3542,267794,267804,2024-07-18T20:10:00,2024-07-18T21:00:00,short,bear_flag,-0.466859,-47.015999,4.008601,-37.74217699999999,-18941.377821000046,-0.8941377821000047,1.2098789715,-2.1040167536000047,-1.73903076519419
3543,267834,267844,2024-07-18T23:30:00,2024-07-19T00:20:00,long,bull_pennant,-0.420242,-61.603802,3.988477,-38.16241899999999,-19002.981623000047,-0.9002981623000048,1.2098789715,-2.110177133800005,-1.7441224977931644
3544,267845,267855,2024-07-19T00:25:00,2024-07-19T01:15:00,long,bull_flag,-0.618214,-88.322106,3.983132,-38.780632999999995,-19091.303729000047,-0.9091303729000046,1.2098789715,-2.1190093444000047,-1.7514225755761923
3545,267865,267875,2024-07-19T02:05:00,2024-07-19T02:55:00,short,bear_flag,0.219496,29.050672,3.993391,-38.561136999999995,-19062.253057000045,-0.9062253057000047,1.2098789715,-2.1161042772000047,-1.7490214534239508
3546,267950,267960,2024-07-19T09:10:00,2024-07-19T10:00:00,short,bear_flag,0.175591,30.687487,3.993064,-38.385546,-19031.565570000046,-0.9031565570000046,1.2098789715,-2.1130355285000046,-1.7464850437728305
3547,268030,268040,2024-07-19T15:50:00,2024-07-19T16:40:00,long,bull_flag,0.359682,67.722907,4.014347,-38.025864,-18963.842663000047,-0.8963842663000048,1.2098789715,-2.106263237800005,-1.7408875494287446
3548,268058,268068,2024-07-19T18:10:00,2024-07-19T19:00:00,long,bull_flag,0.019577,-0.150536,4.00077,-38.006287,-18963.993199000048,-0.8963993199000049,1.2098789715,-2.106278291400005,-1.7408999916649968
3549,268086,268100,2024-07-19T20:30:00,2024-07-19T21:40:00,long,bull_flag,0.136555,32.236536,4.007249,-37.869732,-18931.756663000047,-0.8931756663000048,1.2098789715,-2.103054637800005,-1.73823554862901
3550,268146,268157,2024-07-20T01:30:00,2024-07-20T02:25:00,short,bear_flag,-0.104951,-15.303283,4.00226,-37.974683,-18947.05994600005,-0.8947059946000049,1.2098789715,-2.104584966100005,-1.7395004092770985
