family,direction,pattern_kind,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,conf_time,exit_time,base_price,tip_price,conf_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,flag_width,flag_height_log,flag_height_ratio,pole_width,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,hold_bars,forward_log_return,flag_quality_score,target_price,target_hit,max_favorable_log_return,future_return_r
bull_flag,long,flag,204851,204875,204885,204884,204895,204883,204884,204883,2023-12-13T06:55:00,2023-12-13T08:55:00,2023-12-13T09:45:00,2023-12-13T10:35:00,2155.38,2186.6499999999996,2179.7400000000002,2175.48,2185.4235084672164,2167.0221692993687,2186.628849476784,2176.4325092082554,2170.69,2167.0221692993687,10,0.007325602947516607,0.5085935058666216,24,0.014403650190212502,7.689564914133431,-0.0008455682238987388,7.690116298673882,-0.00046739470259688664,10,-0.001956273785750362,2.1397240685911347,2211.363412020154,false,0.0010225348289099045,-0.13581791836903118
bull_flag,long,flag,204912,204934,204944,204943,204954,204937,204934,204937,2023-12-13T12:00:00,2023-12-13T13:50:00,2023-12-13T14:40:00,2023-12-13T15:30:00,2172.6099999999997,2194.4600000000005,2188.4799999999996,2219.55,2185.9033191566386,2185.5256114795175,2194.4600000000005,2187.4229443945114,2185.79,2185.5256114795175,10,0.003958683327399015,0.3955996095845938,22,0.010006792806382947,7.689784440474183,-0.00001728074202070614,7.69369128157552,-0.0003211889383831623,10,0.014097233706921841,2.396685015513641,2210.48960503726,true,0.014097233706921841,1.4087664229372032
bull_flag,long,flag,204937,204961,204971,204970,204981,204968,204970,204968,2023-12-13T14:05:00,2023-12-13T16:05:00,2023-12-13T16:55:00,2023-12-13T17:45:00,2185.790000000001,2228.88,2206.600000000001,2213.28,2227.0078437226425,2194.852435104551,2228.8601920868473,2204.5621650972744,2204.45,2194.852435104551,10,0.011021172475103924,0.5645543552414645,24,0.019521897887742057,7.708414189353833,-0.0014544093847248868,7.709245609160714,-0.00109614055780592,10,0.003022708800298979,2.0227851763598124,2250.1002420177606,false,0.00383113636247856,0.1548368308081849
bull_flag,long,flag,204968,205019,205029,205028,205039,205023,205025,205023,2023-12-13T16:40:00,2023-12-13T20:55:00,2023-12-13T21:45:00,2023-12-13T22:35:00,2204.4499999999994,2259.72,2255.7,2265.58,2253.5444543015738,2249.9850066019935,2259.697496460681,2254.8037907783405,2252.12,2249.9850066019935,10,0.003368916977587233,0.13604712897782437,51,0.024762867124791477,7.7202595687173945,-0.00015807372735784396,7.722986232183878,-0.00021679947740660575,10,0.004370450724729302,6.450236397548674,2312.254940688154,false,0.010802812347528779,0.1764921122705457
bull_flag,long,flag,204968,205035,205045,205044,205055,205040,205044,205040,2023-12-13T16:40:00,2023-12-13T22:15:00,2023-12-13T23:05:00,2023-12-13T23:55:00,2204.4499999999994,2280.2000000000007,2264.1499999999996,2261.44,2272.961340529264,2248.2064306954353,2280.395995694079,2261.186338742023,2260.55,2248.2064306954353,10,0.0086550119093598,0.25617826763165424,67,0.03378511373886095,7.728838815581755,-0.0010950780182989,7.7321043891894226,-0.000845950600302435,10,-0.0011976340428176968,5.022119046814344,2341.951430061921,false,0.00010599442655934155,-0.03544857217515096
bull_flag,long,flag,204968,205069,205079,205078,205089,205071,205069,205077,2023-12-13T16:40:00,2023-12-14T01:05:00,2023-12-14T01:55:00,2023-12-14T02:45:00,2204.4499999999994,2261.79,2255.0499999999997,2251.6,2256.96483654491,2248.9021995560724,2261.79,2250.6683732677893,2250.49,2248.9021995560724,10,0.005008564903941526,0.19504903927782807,101,0.025678490509288387,7.721776196964186,-0.00035787321415856234,7.723911814170047,-0.0004929308297934114,10,-0.0015310710500928693,7.076149476159989,2313.7061577717805,false,0.0,-0.05962465159465088
bull_flag,long,flag,205243,205267,205277,205276,205287,205273,205276,205274,2023-12-14T15:35:00,2023-12-14T17:35:00,2023-12-14T18:25:00,2023-12-14T19:15:00,2269.9900000000007,2314.3300000000004,2292.170000000001,2286.92,2312.044301096454,2282.396958030516,2316.3168785809003,2291.6113517114522,2293.14,2282.396958030516,10,0.009198171404486644,0.47548541033142483,24,0.019344802605142597,7.74588739098259,-0.0012905923878389048,7.747733650828023,-0.001072315468767591,10,-0.002293033026377067,2.2218683706441915,2336.943244727951,false,0.0020048209567935515,-0.11853483714367238
bull_flag,long,flag,205301,205335,205345,205344,205355,205341,205335,205344,2023-12-14T20:25:00,2023-12-14T23:15:00,2023-12-15T00:05:00,2023-12-15T00:55:00,2284.999999999999,2329.9999999999995,2314.4099999999994,2300.78,2325.596314160493,2308.7270135793365,2329.9999999999995,2313.159563746485,2313.87,2308.7270135793365,10,0.0069468201595475065,0.35620621059365654,34,0.01950224323144134,7.751731764345101,-0.0007280189100236004,7.753623546559746,-0.0007253901084495529,10,-0.005906599566577242,3.044417570934641,2359.989190371991,false,0.0014507210813423654,-0.30286770072966146
bear_flag,short,flag,205404,205427,205437,205436,205447,205430,205428,205436,2023-12-15T05:00:00,2023-12-15T06:55:00,2023-12-15T07:45:00,2023-12-15T08:35:00,2283.3800000000006,2260.899999999999,2267.7499999999995,2271.26,2257.6917987927422,2269.574293065074,2262.0388851989137,2270.2634590250245,2268.48,2270.2634590250245,10,0.0033470395843826495,0.338295395276021,23,0.009893837253243554,7.722098242387718,0.0005249314405956963,7.7240218471555915,0.00036293178297756634,10,-0.0015465930674958273,2.693597892192561,2245.4238781981076,false,0.00020727536606468533,-0.15631883038997824
bull_flag,long,flag,205427,205454,205465,205464,205476,205462,205460,205462,2023-12-15T06:55:00,2023-12-15T09:10:00,2023-12-15T10:05:00,2023-12-15T11:00:00,2260.899999999999,2287.3399999999997,2280.480000000001,2275.56,2285.0445215722375,2274.567367928742,2287.317583968076,2278.859135033476,2277.42,2274.567367928742,11,0.004346347065927958,0.3738276644549674,27,0.011626606265924266,7.734140787415179,-0.00041778564161406564,7.735135049256488,-0.0003368029009835942,11,-0.0021597711664043118,2.586835833132958,2307.148977486843,false,0.0005041526944138397,-0.18576109975739502
