example_no,example_file,family,side,entry_time,exit_time,flag_width,pole_width,flag_quality_score,gross_r,net_pnl,target_hit,selection_score
32,flags-pennants-example-032.png,bear_pennant,short,2023-05-15 21:25,2023-05-15 22:15,10,41,7.64,0.033245,-0.60139,false,0.6109
33,flags-pennants-example-033.png,bear_pennant,short,2023-06-10 07:55,2023-06-10 08:45,10,71,8.164561,-0.063673,-43.859883,false,0.717374
34,flags-pennants-example-034.png,bear_flag,short,2023-06-10 08:50,2023-06-10 09:40,10,82,6.79503,0.031202,17.443904,false,0.612702
35,flags-pennants-example-035.png,bull_pennant,long,2023-06-14 03:45,2023-06-14 04:35,10,54,5.117176,-0.112137,-12.135908,false,0.492031
36,flags-pennants-example-036.png,bull_pennant,long,2023-07-09 00:30,2023-07-09 01:30,12,39,6.492408,-0.054169,-10.311734,false,0.520794
37,flags-pennants-example-037.png,bull_flag,long,2023-07-09 03:00,2023-07-09 03:50,10,71,6.573722,0.020556,-1.000396,false,0.571923
38,flags-pennants-example-038.png,bear_pennant,short,2023-08-01 05:10,2023-08-01 06:00,10,40,7.080564,-0.095166,-25.327395,false,0.574834
39,flags-pennants-example-039.png,bear_flag,short,2023-08-04 20:35,2023-08-04 21:25,10,48,4.303132,0.080797,4.639903,true,0.478188
40,flags-pennants-example-040.png,bull_flag,long,2023-08-23 18:05,2023-08-23 18:55,10,49,6.510413,-0.072363,-27.531697,false,0.513125
41,flags-pennants-example-041.png,bear_pennant,short,2023-09-11 12:20,2023-09-11 13:15,11,66,8.289133,-0.179389,-39.128151,false,0.697348
42,flags-pennants-example-042.png,bear_flag,short,2023-10-02 17:50,2023-10-02 18:40,10,54,6.786289,0.773551,212.964794,true,0.642177
43,flags-pennants-example-043.png,bull_pennant,long,2023-10-11 10:55,2023-10-11 12:05,14,43,5.044784,-0.000389,-4.063463,false,0.429473
44,flags-pennants-example-044.png,bear_pennant,short,2023-11-21 23:50,2023-11-22 00:40,10,28,5.493749,-0.088907,-31.183825,false,0.449625
45,flags-pennants-example-045.png,bull_flag,long,2023-11-22 05:55,2023-11-22 06:45,10,62,6.941834,0.14433,38.058349,false,0.57151
46,flags-pennants-example-046.png,bull_pennant,long,2023-12-02 21:30,2023-12-02 22:40,14,42,7.2,-0.006079,-5.804593,false,0.557
47,flags-pennants-example-047.png,bull_flag,long,2023-12-14 01:55,2023-12-14 02:45,10,101,7.076149,-0.059625,-19.295936,false,0.674569
48,flags-pennants-example-048.png,bear_flag,short,2023-12-18 03:45,2023-12-18 04:35,10,72,8.88,-0.053482,-23.708737,false,0.7128
49,flags-pennants-example-049.png,bear_pennant,short,2023-12-19 13:40,2023-12-19 14:30,10,44,4.851289,0.947575,93.690828,true,0.551077
50,flags-pennants-example-050.png,bear_flag,short,2024-01-23 13:20,2024-01-23 14:10,10,74,7.107726,0.218667,134.307939,false,0.611464
51,flags-pennants-example-051.png,bull_flag,long,2024-02-14 11:40,2024-02-14 12:35,11,74,8.690909,0.013274,2.654207,false,0.689636
52,flags-pennants-example-052.png,bull_pennant,long,2024-02-24 06:15,2024-02-24 07:05,10,44,7.76,-0.058048,-12.331582,false,0.6256
53,flags-pennants-example-053.png,bull_flag,long,2024-03-21 00:05,2024-03-21 00:55,10,81,9.24,0.014777,11.141585,false,0.7569
54,flags-pennants-example-054.png,bear_pennant,short,2024-03-22 12:50,2024-03-22 13:40,10,71,7.037746,0.223145,86.252651,false,0.649765
55,flags-pennants-example-055.png,bull_pennant,long,2024-04-04 09:55,2024-04-04 10:50,11,56,7.091329,0.070947,14.229231,false,0.602752
56,flags-pennants-example-056.png,bear_pennant,short,2024-04-12 18:15,2024-04-12 19:05,10,73,8.071694,0.449325,283.837082,true,0.816802
57,flags-pennants-example-057.png,bear_flag,short,2024-04-12 19:25,2024-04-12 20:15,10,87,9.48,-0.087825,-93.164612,false,0.7863
58,flags-pennants-example-058.png,bull_flag,long,2024-05-20 23:10,2024-05-21 00:00,10,37,7.48,0.053831,78.356437,false,0.5413
59,flags-pennants-example-059.png,bear_flag,short,2024-06-10 12:55,2024-06-10 13:45,10,87,4.706954,0.330423,13.329727,false,0.499917
60,flags-pennants-example-060.png,bear_flag,short,2024-07-02 01:20,2024-07-02 02:25,13,72,5.564175,-0.033285,-9.920404,false,0.472312
61,flags-pennants-example-061.png,bear_pennant,short,2024-08-01 17:40,2024-08-01 18:40,12,53,7.039786,0.090965,27.365698,false,0.582804
62,flags-pennants-example-062.png,bull_flag,long,2024-08-02 00:00,2024-08-02 01:00,12,52,7.733333,-0.134481,-60.624593,false,0.572333
63,flags-pennants-example-063.png,bear_pennant,short,2024-08-04 16:50,2024-08-04 17:40,10,37,5.199672,1.742779,612.929114,true,0.55448
64,flags-pennants-example-064.png,bull_pennant,long,2024-08-08 18:15,2024-08-08 19:05,10,44,7.76,-0.025155,-20.606755,false,0.6256
65,flags-pennants-example-065.png,bear_flag,short,2024-09-06 21:50,2024-09-06 22:45,11,100,6.863477,-0.009472,-13.629915,false,0.639081
66,flags-pennants-example-066.png,bull_flag,long,2024-09-20 06:05,2024-09-20 06:55,10,35,7.4,0.161991,65.339979,false,0.5315
67,flags-pennants-example-067.png,bear_pennant,short,2024-09-24 00:20,2024-09-24 01:15,11,44,5.144693,0.076386,7.395422,false,0.458682
