trade_no,exit_idx,exit_time,side,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
5278,319033,2025-01-12T18:05:00,short,-1.0,-73.344144,4.013866,-51.53598700000092,-23247.888361000027,-1.3247888361000029,1.1735233204000002,-2.498312156500003,-2.1288986022437486
5279,319076,2025-01-12T21:40:00,short,0.638742,27.095248,3.993782,-50.89724500000092,-23220.793113000025,-1.3220793113000027,1.1735233204000002,-2.495602631700003,-2.1265897220085637
5280,319109,2025-01-13T00:25:00,long,1.8,94.082942,4.019621,-49.097245000000925,-23126.710171000024,-1.3126710171000027,1.1735233204000002,-2.486194337500003,-2.118572587592527
5281,319277,2025-01-13T14:25:00,long,-1.0,-129.041688,3.974987,-50.097245000000925,-23255.751859000025,-1.3255751859000027,1.1735233204000002,-2.499098506300003,-2.1295686782331478
5282,319405,2025-01-14T01:05:00,long,1.8,62.273254,4.013257,-48.29724500000093,-23193.478605000026,-1.3193478605000029,1.1735233204000002,-2.492871180900003,-2.1242621578668737
5283,319453,2025-01-14T05:05:00,short,-1.0,-56.569629,4.010512,-49.29724500000093,-23250.048234000027,-1.3250048234000027,1.1735233204000002,-2.498528143800003,-2.1290826525274076
5284,319491,2025-01-14T08:15:00,short,-1.0,-50.412493,4.009281,-50.29724500000093,-23300.460727000027,-1.3300460727000027,1.1735233204000002,-2.503569393100003,-2.1333784762339887
5285,319502,2025-01-14T09:10:00,short,-1.0,-51.063363,4.009411,-51.29724500000093,-23351.524090000028,-1.335152409000003,1.1735233204000002,-2.5086757294000033,-2.1377297628349736
5286,319584,2025-01-14T16:00:00,long,-1.0,-138.084269,3.973178,-52.29724500000093,-23489.608359000027,-1.348960835900003,1.1735233204000002,-2.522484156300003,-2.149496403224611
5287,319633,2025-01-14T20:05:00,long,0.327606,23.214209,4.005444,-51.969639000000925,-23466.394150000026,-1.3466394150000025,1.1735233204000002,-2.5201627354000027,-2.1475182398088135
5288,319699,2025-01-15T01:35:00,short,-1.0,-75.382897,4.014274,-52.969639000000925,-23541.777047000025,-1.3541777047000028,1.1735233204000002,-2.527701025100003,-2.1539418784097326
5289,319728,2025-01-15T04:00:00,long,1.8,89.032507,4.01861,-51.16963900000093,-23452.744540000025,-1.3452744540000028,1.1735233204000002,-2.518797774400003,-2.146355109109771
5290,319795,2025-01-15T09:35:00,long,-1.0,-53.969039,3.990004,-52.16963900000093,-23506.713579000025,-1.3506713579000027,1.1735233204000002,-2.524194678300003,-2.150953998459631
5291,319842,2025-01-15T13:30:00,long,1.8,98.67794,4.02054,-50.36963900000093,-23408.035639000023,-1.3408035639000024,1.1735233204000002,-2.5143268843000026,-2.142545308296885
5292,319906,2025-01-15T18:50:00,short,-1.0,-114.195688,4.022035,-51.36963900000093,-23522.231327000023,-1.3522231327000025,1.1735233204000002,-2.5257464531000027,-2.1522763196892347
5293,320045,2025-01-16T06:25:00,short,-1.0,-25.338514,4.004267,-52.36963900000093,-23547.569841000022,-1.3547569841000024,1.1735233204000002,-2.5282803045000026,-2.1544355025158155
5294,320121,2025-01-16T12:45:00,long,0.495806,48.45679,4.010493,-51.87383300000093,-23499.113051000022,-1.3499113051000022,1.1735233204000002,-2.5234346255000024,-2.150306331057724
5295,320165,2025-01-16T16:25:00,short,-0.694639,-118.154426,4.022826,-52.56847200000093,-23617.267477000023,-1.3617267477000023,1.1735233204000002,-2.5352500681000025,-2.160374680271247
5296,320268,2025-01-17T01:00:00,short,-1.0,-34.038053,4.006006,-53.56847200000093,-23651.305530000023,-1.3651305530000024,1.1735233204000002,-2.5386538734000026,-2.1632751810459907
5297,320436,2025-01-17T15:00:00,short,-1.0,-87.281023,4.016653,-54.56847200000093,-23738.586553000023,-1.3738586553000025,1.1735233204000002,-2.5473819757000027,-2.1707127003080924
5298,320532,2025-01-17T23:00:00,long,-1.0,-57.69059,3.98926,-55.56847200000093,-23796.27714300002,-1.3796277143000024,1.1735233204000002,-2.5531510347000026,-2.1756287159506558
5299,320579,2025-01-18T02:55:00,long,-1.0,-52.023658,3.990393,-56.56847200000093,-23848.30080100002,-1.3848300801000022,1.1735233204000002,-2.5583534005000024,-2.1800618326255137
5300,320710,2025-01-18T13:50:00,long,0.6031,91.711441,4.019146,-55.96537200000093,-23756.58936000002,-1.375658936000002,1.1735233204000002,-2.549182256400002,-2.172246782050401
5301,320728,2025-01-18T15:20:00,short,-1.0,-82.757117,4.015748,-56.96537200000093,-23839.34647700002,-1.383934647700002,1.1735233204000002,-2.5574579681000023,-2.1792988035621503
5302,320771,2025-01-18T18:55:00,short,0.995765,124.459227,3.974313,-55.969607000000934,-23714.88725000002,-1.371488725000002,1.1735233204000002,-2.5450120454000023,-2.1686932003469046
5303,320826,2025-01-18T23:30:00,long,1.8,92.409286,4.019286,-54.16960700000094,-23622.477964000023,-1.3622477964000024,1.1735233204000002,-2.5357711168000026,-2.160818683974405
5304,320931,2025-01-19T08:15:00,long,-1.0,-87.5958,3.983277,-55.16960700000094,-23710.073764000022,-1.3710073764000024,1.1735233204000002,-2.5445306968000025,-2.168283026478493
