trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
68,4949,4959,2018-08-02T07:00:00,2018-08-02T17:00:00,short,bear_flag,0.210425,195.746153,3.960059,-2.2492420000000015,-1420.3442350000007,0.8579655764999999,1.0474504077,-0.18948483120000004,-0.18090100477030924
69,4984,4997,2018-08-03T18:00:00,2018-08-04T07:00:00,short,bear_flag,0.062945,25.233231,3.994155,-2.1862970000000015,-1395.1110040000008,0.8604888996,1.0474504077,-0.1869615081,-0.17849199038504515
70,5027,5040,2018-08-05T13:00:00,2018-08-06T02:00:00,short,bear_flag,-0.276478,-243.659411,4.047922,-2.4627750000000015,-1638.7704150000009,0.8361229584999998,1.0474504077,-0.21132744920000013,-0.20175413331886005
71,5117,5131,2018-08-09T07:00:00,2018-08-09T21:00:00,short,bear_flag,-0.312284,-428.701056,4.084923,-2.7750590000000015,-2067.4714710000007,0.7932528528999999,1.0474504077,-0.25419755480000006,-0.24268218612675807
72,5133,5144,2018-08-09T23:00:00,2018-08-10T10:00:00,short,bear_flag,0.230286,291.40023,3.940932,-2.5447730000000015,-1776.0712410000008,0.8223928758999999,1.0474504077,-0.2250575318000001,-0.21486223132432902
73,5225,5236,2018-08-13T19:00:00,2018-08-14T06:00:00,long,bull_flag,-0.697756,-442.999212,3.912183,-3.2425290000000015,-2219.0704530000007,0.7780929547,1.0474504077,-0.269357453,-0.25715532785123196
74,5280,5290,2018-08-16T02:00:00,2018-08-16T12:00:00,long,bull_flag,0.020487,17.623662,4.004326,-3.2220420000000014,-2201.4467910000008,0.7798553208999999,1.0474504077,-0.2675950868000001,-0.2554727983614876
75,5336,5346,2018-08-18T10:00:00,2018-08-18T20:00:00,long,bull_flag,-0.43474,-236.769366,3.953437,-3.6567820000000015,-2438.2161570000007,0.7561783843,1.0474504077,-0.2912720234,-0.27807714929394844
76,5365,5377,2018-08-19T15:00:00,2018-08-20T03:00:00,short,bear_flag,-0.279811,-120.639038,4.023323,-3.9365930000000016,-2558.8551950000005,0.7441144805,1.0474504077,-0.3033359272,-0.28959454783741745
77,5433,5443,2018-08-22T11:00:00,2018-08-22T21:00:00,long,bull_flag,-0.545974,-456.804357,3.909421,-4.482567000000001,-3015.6595520000005,0.6984340447999999,1.0474504077,-0.34901636290000004,-0.33320562036571544
78,5495,5505,2018-08-25T01:00:00,2018-08-25T11:00:00,short,bear_flag,0.082758,33.839317,3.992434,-4.399809000000001,-2981.8202350000006,0.7018179764999999,1.0474504077,-0.3456324312000001,-0.32997498369296796
79,5528,5538,2018-08-26T10:00:00,2018-08-26T20:00:00,long,bull_flag,0.065764,20.645035,4.00493,-4.3340450000000015,-2961.1752000000006,0.7038824799999999,1.0474504077,-0.3435679277000001,-0.3280040039837393
80,5595,5605,2018-08-29T05:00:00,2018-08-29T15:00:00,long,bull_flag,-0.159623,-120.122468,3.976771,-4.493668000000001,-3081.2976680000006,0.6918702332,1.0474504077,-0.3555801745,-0.3394720856339021
