preset,family,pattern_kind,side,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,entry_time,exit_time,base_price,tip_price,entry_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,target_price,target_hit,flag_width,pole_width,hold_bars,holding_bars,flag_height_log,flag_height_ratio,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,flag_quality_score,gross_log_return,gross_return_pct,gross_r,structure_r,net_pnl,net_return_pct,fees,exit_reason
baseline,bull_pennant,pennant,long,21339,21370,21380,21379,21390,21372,21370,21372,2020-06-15T05:00:00,2020-06-16T12:00:00,2020-06-16T22:00:00,2020-06-17T08:00:00,9041.076976,9564.935048,9522.809543,9496.22518,9421.306325,9506.243238,9564.935048,9497.159573,9438.232778,9506.243238,10074.580163,false,10,31,10,10,0.013335,0.23675,0.056326,9.150729,0.000898,9.165859,-0.000711,3.774321,-0.002796,-0.279165,-0.049632,-1.604725,-31.910929,-0.319109,3.994417,固定持有期
baseline,bear_flag,flag,short,21370,21401,21411,21410,21421,21401,21405,21405,2020-06-16T12:00:00,2020-06-17T19:00:00,2020-06-18T05:00:00,2020-06-18T15:00:00,9564.935048,9300.9717,9425.92088,9386.007467,9300.9717,9423.337527,9447.981614,9490.813962,9465.091308,9490.813962,9165.793903,false,10,31,10,10,0.017492,0.625035,0.027985,9.137874,0.001307,9.153556,0.000452,2.199947,0.004243,0.423443,0.151632,0.615064,38.35278,0.383528,3.991531,固定持有期
baseline,bull_flag,flag,long,21501,21523,21533,21532,21543,21527,21529,21531,2020-06-21T23:00:00,2020-06-22T21:00:00,2020-06-23T07:00:00,2020-06-23T17:00:00,9294.701884,9689.126946,9663.598889,9664.133343,9672.359508,9607.741945,9699.385638,9630.656473,9625.696834,9607.741945,10073.678269,false,10,22,10,10,0.006568,0.158039,0.04156,9.177028,-0.00067,9.179818,-0.000711,4.676542,0.000055,0.005531,0.001331,0.009568,-3.447051,-0.034471,4.000111,固定持有期
baseline,bear_pennant,pennant,short,21541,21565,21576,21575,21587,21565,21568,21568,2020-06-23T15:00:00,2020-06-24T15:00:00,2020-06-25T02:00:00,2020-06-25T13:00:00,9692.000381,9249.937695,9255.005377,9194.420972,9249.937695,9274.664421,9317.240992,9288.619113,9309.42629,9288.619113,8832.874509,false,11,24,11,11,0.006411,0.13732,0.046684,9.132372,0.000243,9.139622,-0.00028,5.242084,0.006568,0.654612,0.140683,1.802371,61.474324,0.614743,3.986908,固定持有期
baseline,bear_flag,flag,short,21541,21577,21587,21586,21597,21586,21582,21582,2020-06-23T15:00:00,2020-06-25T03:00:00,2020-06-25T13:00:00,2020-06-25T23:00:00,9692.000381,9100.164177,9194.420972,9249.290414,9100.247194,9195.325232,9196.171292,9407.311823,9301.142453,9407.311823,8632.969157,false,10,36,10,10,0.021845,0.346696,0.063008,9.116057,0.001039,9.126543,0.00227,3.170621,-0.00595,-0.596769,-0.094431,-0.257735,-63.688822,-0.636888,4.011935,固定持有期
baseline,bear_pennant,pennant,short,21595,21641,21651,21650,21661,21641,21643,21643,2020-06-25T21:00:00,2020-06-27T19:00:00,2020-06-28T05:00:00,2020-06-28T15:00:00,9304.525079,8938.001702,8961.769533,9159.414628,8938.001702,8970.20138,9090.353328,8953.190194,9062.753615,8953.190194,8608.747965,false,10,46,10,10,0.013861,0.344896,0.040189,9.098067,0.00036,9.114969,-0.00152,3.579654,-0.021815,-2.205425,-0.542802,-197645095590.8276,-224.586597,-2.245866,4.044108,固定持有期
baseline,bull_flag,flag,long,21641,21661,21671,21670,21681,21665,21670,21668,2020-06-27T19:00:00,2020-06-28T15:00:00,2020-06-29T01:00:00,2020-06-29T11:00:00,8938.001702,9159.414628,9144.393011,9097.283609,9128.261189,9088.550923,9168.139105,9118.875491,9104.36111,9088.550923,9370.91868,false,10,20,10,10,0.006029,0.24637,0.02447,9.119131,-0.000436,9.12349,-0.000539,3.235362,-0.005165,-0.515173,-0.211074,-0.843618,-55.50695,-0.55507,3.989697,固定持有期
baseline,bear_flag,flag,short,21755,21789,21799,21798,21809,21789,21792,21795,2020-07-02T13:00:00,2020-07-03T23:00:00,2020-07-04T09:00:00,2020-07-04T19:00:00,9246.961352,9058.291271,9071.825871,9129.281174,9058.291271,9077.438726,9084.075194,9096.377819,9091.544697,9096.377819,8886.729161,false,10,34,10,10,0.003664,0.177755,0.020614,9.111436,0.000211,9.114278,0.000135,4.735435,-0.006313,-0.633338,-0.306261,-2.340153,-67.346447,-0.673464,4.012667,固定持有期
baseline,bear_flag,flag,short,21755,21801,21811,21810,21821,21806,21807,21807,2020-07-02T13:00:00,2020-07-04T11:00:00,2020-07-04T21:00:00,2020-07-05T07:00:00,9246.961352,9057.718485,9117.187171,9062.051529,9031.488615,9115.778393,9060.34627,9243.201293,9169.620561,9243.201293,8930.600186,false,10,46,10,10,0.012279,0.59381,0.020678,9.108472,0.000929,9.111663,0.001998,2.850424,0.006066,0.604744,0.293349,0.437535,56.486494,0.564865,3.987905,固定持有期
baseline,bull_flag,flag,long,21834,21861,21872,21871,21883,21864,21870,21871,2020-07-05T20:00:00,2020-07-06T23:00:00,2020-07-07T10:00:00,2020-07-07T21:00:00,9012.067132,9344.108014,9248.694442,9244.6246,9308.655989,9220.241833,9344.015483,9247.580267,9228.158183,9220.241833,9589.453628,false,11,27,11,11,0.012487,0.345107,0.036182,9.1387,-0.000868,9.142491,-0.000943,2.720408,-0.00044,-0.044005,-0.012165,-0.143039,-8.399571,-0.083996,3.99912,固定持有期
baseline,bull_flag,flag,long,21871,21908,21921,21920,21934,21911,21908,21920,2020-07-07T09:00:00,2020-07-08T22:00:00,2020-07-09T11:00:00,2020-07-10T00:00:00,9228.158183,9448.937266,9401.633575,9214.11514,9388.185409,9362.196895,9448.937266,9388.835881,9364.100663,9362.196895,9626.56297,false,13,37,13,13,0.009019,0.381468,0.023643,9.147207,-0.000213,9.153658,-0.000491,2.711331,-0.020147,-1.99453,-0.852137,-4.754924,-203.413145,-2.034131,3.960109,固定持有期
baseline,bear_pennant,pennant,short,22050,22073,22083,22082,22093,22073,22075,22075,2020-07-14T20:00:00,2020-07-15T19:00:00,2020-07-16T05:00:00,2020-07-16T15:00:00,9268.9608,9185.319399,9199.045398,9125.251412,9185.319399,9206.216687,9236.868584,9211.209642,9231.731084,9211.209642,9116.0349,true,10,23,10,10,0.00504,0.556008,0.009065,9.125362,0.000227,9.130958,-0.000278,1.999121,0.008054,0.802192,0.888523,6.066467,76.235222,0.762352,3.983956,固定持有期
baseline,bear_flag,flag,short,22050,22087,22097,22096,22107,22091,22088,22096,2020-07-14T20:00:00,2020-07-16T09:00:00,2020-07-16T19:00:00,2020-07-17T05:00:00,9268.9608,9069.936173,9126.217025,9102.39027,9054.414479,9125.157825,9094.847738,9145.426954,9125.284175,9145.426954,8930.257415,false,10,37,10,10,0.006084,0.280282,0.021706,9.111008,0.000778,9.115463,0.000555,3.620701,0.002614,0.26108,0.120437,1.240335,22.113252,0.221133,3.994778,固定持有期
baseline,bull_pennant,pennant,long,22185,22211,22221,22220,22231,22213,22211,22213,2020-07-20T11:00:00,2020-07-21T13:00:00,2020-07-21T23:00:00,2020-07-22T09:00:00,9147.755547,9408.906744,9389.764646,9315.288562,9329.621238,9370.854716,9408.906744,9374.403142,9337.853393,9370.854716,9657.824747,false,10,26,10,10,0.00758,0.269302,0.028148,9.14095,0.000441,9.149412,-0.000367,3.267982,-0.007963,-0.793162,-0.282904,-3.938464,-83.300378,-0.833004,3.984137,固定持有期
baseline,bull_flag,flag,long,22276,22314,22324,22323,22334,22319,22323,22319,2020-07-24T06:00:00,2020-07-25T20:00:00,2020-07-26T06:00:00,2020-07-26T16:00:00,9474.577029,9713.890549,9698.844778,9896.326546,9692.985954,9636.56451,9713.796975,9674.092786,9664.734059,9636.56451,9943.822963,true,10,38,10,10,0.005073,0.203381,0.024945,9.179158,-0.000584,9.181303,-0.00041,4.470135,0.020157,2.036137,0.808059,3.170856,199.572977,1.99573,4.040723,固定持有期
baseline,bull_flag,flag,long,22276,22328,22340,22339,22352,22330,22328,22337,2020-07-24T06:00:00,2020-07-26T10:00:00,2020-07-26T22:00:00,2020-07-27T10:00:00,9474.577029,10003.724044,9917.650764,10258.718214,9881.653115,9860.562386,10003.724044,9903.226344,9865.740128,9860.562386,10471.543068,false,12,52,12,12,0.013889,0.255574,0.054345,9.198435,-0.000178,9.210713,-0.000841,4.080987,0.033812,3.438994,0.622166,5.974376,339.830656,3.398307,4.06878,固定持有期
