family,direction,pattern_kind,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,conf_time,exit_time,base_price,tip_price,conf_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,flag_width,flag_height_log,flag_height_ratio,pole_width,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,hold_bars,forward_log_return,flag_quality_score,target_price,target_hit,max_favorable_log_return,future_return_r
bear_flag,short,flag,13218,13242,13252,13251,13262,13242,13245,13247,2019-07-12T20:00:00,2019-07-13T20:00:00,2019-07-14T06:00:00,2019-07-14T16:00:00,11850.191268970191,10922.025758382428,11215.805889472113,10571.56455649422,10922.025758382428,11221.149893846263,11299.390707088463,11488.731000667814,11393.774945360396,11488.731000667814,10,0.042285686710801684,0.5184449075714804,24,0.0815625461707743,9.298536741103607,0.002701891880429513,9.332504083520027,0.001661783741729984,10,0.05915621605073795,2.1173071530599907,10337.328575159549,true,0.07427675777309162,0.7252865295165952
bear_flag,short,flag,13218,13270,13282,13281,13294,13278,13273,13277,2019-07-12T20:00:00,2019-07-15T00:00:00,2019-07-15T12:00:00,2019-07-16T00:00:00,11850.191268970191,10008.083914765719,10101.132499977417,10910.263472315692,10008.164888773368,10275.598867645798,10187.830936406306,10418.121536348452,10321.631556739205,10418.121536348452,12,0.03084868624251058,0.18258970683228193,52,0.16895085039402957,9.211156527707804,0.002197566159498624,9.228949241576727,0.0018627318880472198,12,-0.07705640289795745,5.019389324162713,8530.915611349996,false,0.0,-0.4560876889240002
bear_flag,short,flag,13218,13282,13293,13292,13304,13282,13288,13292,2019-07-12T20:00:00,2019-07-15T12:00:00,2019-07-15T23:00:00,2019-07-16T10:00:00,11850.191268970191,10101.132499977417,10840.298147523821,10684.916263337922,10101.132499977417,10832.620066700356,10394.176876106712,11346.572083902123,10918.642975396786,11346.572083902123,11,0.07782414667044257,0.48732542778891247,64,0.15969646202034937,9.220402825254032,0.006355855657386214,9.249001012559129,0.00796999506309308,11,0.014437448119471341,3.5584828505004715,9240.29709242943,false,0.0156477943586939,0.09040556025362444
bear_flag,short,flag,13292,13329,13340,13339,13351,13329,13336,13336,2019-07-15T22:00:00,2019-07-17T11:00:00,2019-07-17T22:00:00,2019-07-18T09:00:00,10918.642975396793,9157.054882728373,9707.885961113223,9732.25070090847,9157.054882728373,9783.377198149641,9503.858077601608,10164.60854852441,9919.181850478371,10164.60854852441,11,0.07994583551057488,0.4543743101560521,37,0.17594708530752534,9.12227988661695,0.006014557598910222,9.15945310857864,0.006110373364126199,11,-0.002506644163705829,2.6659517359623752,8141.638548077126,false,0.011344074736875598,-0.014246579642536531
bull_flag,long,flag,13377,13412,13422,13421,13432,13417,13412,13419,2019-07-19T11:00:00,2019-07-20T22:00:00,2019-07-21T08:00:00,2019-07-21T18:00:00,10284.19131169528,10972.314285649363,10672.959764000483,10493.927581820615,10781.180673622308,10374.627190124536,10972.314285649363,10539.882639521298,10569.870196215188,10374.627190124536,10,0.0373676975898114,0.5769529254938353,35,0.0647673249213998,9.285557362920382,-0.0038438951949079096,9.303130495982776,-0.004020880871969028,10,-0.01691665371027362,2.4399461957601445,11387.09552743618,false,0.00046098908767966407,-0.26119117519217133
bull_flag,long,flag,13502,13522,13532,13531,13542,13523,13522,13529,2019-07-24T16:00:00,2019-07-25T12:00:00,2019-07-25T22:00:00,2019-07-26T08:00:00,9582.824570504225,10128.456309317991,9904.3031213314,9791.92799148791,9974.088955013236,9806.340252186452,10128.456309317991,9901.879208516848,9856.27778987196,9806.340252186452,10,0.027240327381466756,0.4919110587579806,20,0.05537652975366214,9.207745904756214,-0.0016961484780045073,9.223104197606604,-0.002262436045517177,10,-0.01141094949168675,2.0197326921556344,10468.23936936253,false,0.0,-0.20606111546619849
bear_flag,short,flag,13558,13603,13613,13612,13623,13612,13607,13607,2019-07-27T00:00:00,2019-07-28T21:00:00,2019-07-29T07:00:00,2019-07-29T17:00:00,10142.265736652693,9467.422067859477,9623.05522942137,9498.578632366323,9467.505352150301,9620.570852947896,9626.111842859851,9748.827765144959,9675.01174832718,9748.827765144959,10,0.02168980399631515,0.3150080115046289,45,0.06885476941590873,9.155620725094016,0.001603815702844895,9.172234668625793,0.0012667658922087964,10,0.013019635905070714,3.7047134615215436,8982.758666045609,false,0.014531202063254867,0.1890883669427053
bull_flag,long,flag,13632,13677,13687,13686,13697,13683,13686,13683,2019-07-30T02:00:00,2019-07-31T23:00:00,2019-08-01T09:00:00,2019-08-01T19:00:00,9423.808448051286,10079.160514119443,9969.500953999612,10282.678334811371,10045.135181629646,9819.979509026909,10079.071079589554,9957.678603337406,9909.429749365852,9819.979509026909,10,0.016983173109363037,0.25261047621510757,45,0.06723067611376976,9.21484373476223,-0.0022669420073032926,9.218216382576221,-0.0012117131117142077,10,0.030930236541925282,4.175198404238298,10662.801659748056,false,0.030930236541925282,0.46006136379744583
bull_flag,long,flag,13755,13790,13803,13802,13816,13800,13797,13800,2019-08-04T05:00:00,2019-08-05T16:00:00,2019-08-06T05:00:00,2019-08-06T18:00:00,10610.61130447047,11865.487061687056,11826.71766191865,11734.083256687209,11776.460540959848,11632.492606762928,11865.36856299979,11794.089024650135,11665.558972837833,11632.492606762928,13,0.01699311620647137,0.15202372162139607,35,0.11177937249024517,9.37385794864143,-0.0009461846530897496,9.381379231429962,-0.0004634981998466618,13,-0.007863474835380302,5.0236755547650285,13225.41759121811,false,0.03274620153955965,-0.07034817480359837
bear_flag,short,flag,13961,14020,14030,14029,14040,14020,14025,14025,2019-08-12T19:00:00,2019-08-15T06:00:00,2019-08-15T16:00:00,2019-08-16T02:00:00,11444.30667758364,9623.799999999992,10052.512064077164,10349.77297984682,9623.799999999992,10110.111199212428,9925.229936369413,10401.78885308578,10160.715826970105,10401.78885308578,10,0.05428969800235528,0.313354706093073,59,0.17325317586336197,9.171994476058694,0.004929683482831413,9.202835272679415,0.0046897802763268635,10,-0.02914202526077503,4.274763009245463,8453.40555157966,false,0.00263596062063165,-0.1682048546328421
