example_no,example_file,side,signal_time,entry_time,exit_time,gross_r,net_pnl,holding_bars,selection_score
67,wedge-example-067.png,long,2024-11-22 11:30,2024-11-22 11:30,2024-11-22 13:15,-1.0,-101.849581,21,4.186848
68,wedge-example-068.png,long,2024-12-07 02:15,2024-12-07 02:15,2024-12-07 03:20,-1.0,-69.053066,13,4.105727
69,wedge-example-069.png,short,2024-12-09 15:10,2024-12-09 15:10,2024-12-09 15:40,1.8,234.027075,6,4.632942
70,wedge-example-070.png,long,2024-12-21 22:25,2024-12-21 22:25,2024-12-22 01:45,0.384893,43.856282,40,4.167225
71,wedge-example-071.png,short,2024-12-22 10:45,2024-12-22 10:45,2024-12-22 14:05,1.266645,79.507766,40,4.151842
72,wedge-example-072.png,long,2025-01-16 09:45,2025-01-16 09:45,2025-01-16 13:05,0.095239,6.173256,40,5.543073
73,wedge-example-073.png,short,2025-01-17 02:45,2025-01-17 02:45,2025-01-17 06:05,-0.302751,-40.336901,40,5.462736
74,wedge-example-074.png,long,2025-02-04 04:00,2025-02-04 04:00,2025-02-04 05:00,-1.0,-101.35273,12,4.2767
75,wedge-example-075.png,short,2025-02-19 03:15,2025-02-19 03:15,2025-02-19 06:35,-0.40006,-36.940137,40,4.512869
76,wedge-example-076.png,long,2025-03-29 17:30,2025-03-29 17:30,2025-03-29 20:50,-0.379032,-72.370808,40,4.547384
77,wedge-example-077.png,short,2025-04-05 10:15,2025-04-05 10:15,2025-04-05 11:30,1.933033,49.872298,15,4.272803
78,wedge-example-078.png,short,2025-04-28 12:10,2025-04-28 12:10,2025-04-28 15:05,1.8,190.156373,35,4.93782
79,wedge-example-079.png,long,2025-04-28 16:30,2025-04-28 16:30,2025-04-28 19:50,1.293567,171.657917,40,4.594445
80,wedge-example-080.png,long,2025-05-16 21:40,2025-05-16 21:40,2025-05-16 22:20,-1.0,-112.555672,8,4.341527
81,wedge-example-081.png,short,2025-06-04 16:25,2025-06-04 16:25,2025-06-04 19:45,0.631704,72.571636,40,5.061289
82,wedge-example-082.png,short,2025-06-20 08:40,2025-06-20 08:40,2025-06-20 12:00,-0.38205,-44.873624,40,4.962498
83,wedge-example-083.png,long,2025-07-04 08:25,2025-07-04 08:25,2025-07-04 11:45,0.446515,29.640805,40,4.626817
84,wedge-example-084.png,short,2025-07-08 07:10,2025-07-08 07:10,2025-07-08 10:30,-1.0,-48.84937,40,5.019667
85,wedge-example-085.png,long,2025-07-23 10:35,2025-07-23 10:35,2025-07-23 12:55,-1.0,-72.068376,28,4.555908
86,wedge-example-086.png,short,2025-07-26 22:25,2025-07-26 22:25,2025-07-27 01:45,-0.330015,-49.238584,40,4.63709
87,wedge-example-087.png,long,2025-08-19 15:25,2025-08-19 15:25,2025-08-19 16:35,-1.0,-148.146472,14,5.300268
88,wedge-example-088.png,long,2025-08-22 12:45,2025-08-22 12:45,2025-08-22 14:00,1.8,237.105951,15,4.911912
89,wedge-example-089.png,short,2025-09-09 07:40,2025-09-09 07:40,2025-09-09 11:00,0.097972,2.224534,40,5.278994
90,wedge-example-090.png,long,2025-09-23 03:20,2025-09-23 03:20,2025-09-23 06:40,0.977911,104.140312,40,5.560242
91,wedge-example-091.png,short,2025-09-27 22:45,2025-09-27 22:45,2025-09-28 02:05,0.867887,34.239373,40,5.344095
92,wedge-example-092.png,short,2025-10-21 16:50,2025-10-21 16:50,2025-10-21 20:10,1.802743,206.602878,40,5.114368
93,wedge-example-093.png,long,2025-11-04 21:55,2025-11-04 21:55,2025-11-05 01:15,-0.149463,-80.343646,40,4.070198
94,wedge-example-094.png,long,2025-11-25 09:40,2025-11-25 09:40,2025-11-25 13:00,1.507443,125.901275,40,4.654995
95,wedge-example-095.png,short,2025-12-18 11:00,2025-12-18 11:00,2025-12-18 12:30,-1.0,-43.541606,18,4.557496
96,wedge-example-096.png,short,2025-12-30 04:55,2025-12-30 04:55,2025-12-30 08:00,-1.0,-50.471764,37,5.808136
97,wedge-example-097.png,long,2026-01-05 07:00,2026-01-05 07:00,2026-01-05 10:20,0.600912,48.047688,40,4.809013
98,wedge-example-098.png,short,2026-01-27 17:10,2026-01-27 17:10,2026-01-27 20:15,-1.0,-142.847821,37,4.680753
99,wedge-example-099.png,long,2026-01-31 19:05,2026-01-31 19:05,2026-01-31 22:25,0.039186,30.479868,40,5.73282
100,wedge-example-100.png,long,2026-02-27 22:40,2026-02-27 22:40,2026-02-28 02:00,0.0919,13.440521,40,5.104361
